,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,list_status,list_date,delist_date
4368,603985,恒润股份,江苏,机械基件,江阴市恒润重工股份有限公司,"Jiangyin Hengrun Heavy Industries Co.,Ltd",hrgf,主板,SSE,L,20170505,
4369,603986,兆易创新,北京,半导体,兆易创新科技集团股份有限公司,Gigadevice Semiconductor Inc.,zycx,主板,SSE,L,20160818,
4370,603987,康德莱,上海,医疗保健,上海康德莱企业发展集团股份有限公司,"Shanghai Kindly Enterprise Development Group Co.,Ltd.",kdl,主板,SSE,L,20161121,
4371,603988,中电电机,江苏,电气设备,中电电机股份有限公司,"SEC Electric Machinery Co., Ltd.",zddj,主板,SSE,L,20141104,
4372,603989,艾华集团,湖南,元器件,湖南艾华集团股份有限公司,"Hunan Aihua Group Co.,Ltd.",ahjt,主板,SSE,L,20150515,
4373,603990,麦迪科技,江苏,软件服务,苏州麦迪斯顿医疗科技股份有限公司,"Suzhou Medicalsystem Technology Co.,Ltd.",mdkj,主板,SSE,L,20161208,
4374,603991,至正股份,深圳,塑料,深圳至正高分子材料股份有限公司,"Shenzhen Original Advanced Compounds Co., Ltd.",zzgf,主板,SSE,L,20170308,
4375,603992,松霖科技,福建,家居用品,厦门松霖科技股份有限公司,"Xiamen Solex High-Tech Industries Co., Ltd.",slkj,主板,SSE,L,20190826,
4376,603993,洛阳钼业,河南,小金属,洛阳栾川钼业集团股份有限公司,CMOC Group Limited,lymy,主板,SSE,L,20121009,
4377,603995,甬金股份,浙江,特种钢,浙江甬金金属科技股份有限公司,"Zhejiang Yongjin Metal Technology Co., Ltd",yjgf,主板,SSE,L,20191224,
4378,603997,继峰股份,浙江,汽车配件,宁波继峰汽车零部件股份有限公司,"Ningbo Jifeng Auto Parts Co., Ltd.",jfgf,主板,SSE,L,20150302,
4379,603998,方盛制药,湖南,中成药,湖南方盛制药股份有限公司,"Hunan Fangsheng Pharmaceutical Co.,Ltd.",fszy,主板,SSE,L,20141205,
4380,603999,读者传媒,甘肃,出版业,读者出版传媒股份有限公司,"Duzhe Publish&Media Co.,Ltd",dzcm,主板,SSE,L,20151210,
4381,605001,威奥股份,山东,运输设备,青岛威奥轨道股份有限公司,"Qingdao Victall Railway Co., Ltd.",wagf,主板,SSE,L,20200522,
4382,605003,众望布艺,浙江,纺织,众望布艺股份有限公司,"Zhongwang Fabric Co., Ltd.",zwby,主板,SSE,L,20200908,
4383,605005,合兴股份,浙江,汽车配件,合兴汽车电子股份有限公司,"CWB Automotive Electronics Co., Ltd.",hxgf,主板,SSE,L,20210119,
4384,605006,山东玻纤,山东,玻璃,山东玻纤集团股份有限公司,"Shandong Fiberglass Group Co., Ltd",sdbx,主板,SSE,L,20200903,
4385,605007,五洲特纸,浙江,造纸,五洲特种纸业集团股份有限公司,"Wuzhou Special Paper Group Co., Ltd.",wztz,主板,SSE,L,20201110,
4386,605008,长鸿高科,浙江,橡胶,宁波长鸿高分子科技股份有限公司,Ningbo Changhong Polymer Scientific and Technical Inc.,chgk,主板,SSE,L,20200821,
4387,605009,豪悦护理,浙江,造纸,杭州豪悦护理用品股份有限公司,"Hangzhou Haoyue Personal Care Co., Ltd",hyhl,主板,SSE,L,20200911,
4388,605011,杭州热电,浙江,供气供热,杭州热电集团股份有限公司,"Hangzhou Cogeneration Group Co., Ltd.",hzrd,主板,SSE,L,20210630,
4389,605016,百龙创园,山东,食品,山东百龙创园生物科技股份有限公司,"Shandong Bailong Chuangyuan Bio-Tech Co., Ltd.",blcy,主板,SSE,L,20210421,
4390,605018,长华集团,浙江,汽车配件,长华控股集团股份有限公司,"Changhua Holding Group Co., Ltd.",chjt,主板,SSE,L,20200929,
4391,605020,永和股份,浙江,化工原料,浙江永和制冷股份有限公司,"Zhejiang Yonghe Refrigerant Co., Ltd.",yhgf,主板,SSE,L,20210709,
4392,605028,世茂能源,浙江,供气供热,宁波世茂能源股份有限公司,"Ningbo Shimao Energy Co.,Ltd.",smny,主板,SSE,L,20210712,
4393,605033,美邦股份,陕西,农药化肥,陕西美邦药业集团股份有限公司,"Shaanxi Meibang Pharmaceutical Group Co., Ltd.",mbgf,主板,SSE,L,20210916,
4394,605050,福然德,上海,仓储物流,福然德股份有限公司,"Friend Co.,Ltd.",frd,主板,SSE,L,20200924,
4395,605055,迎丰股份,浙江,纺织,浙江迎丰科技股份有限公司,"Zhejiang Yingfeng Technology Co.,Ltd.",yfgf,主板,SSE,L,20210129,
4396,605056,咸亨国际,浙江,电器仪表,咸亨国际科技股份有限公司,"Xianheng International Science&Technology Co., Ltd.",xhgj,主板,SSE,L,20210720,
4397,605058,澳弘电子,江苏,元器件,常州澳弘电子股份有限公司,"Changzhou Aohong Electronics Co., Ltd.",ahdz,主板,SSE,L,20201021,
4398,605060,联德股份,浙江,机械基件,杭州联德精密机械股份有限公司,"Allied Machinery Co.,Ltd.",ldgf,主板,SSE,L,20210301,
4399,605066,天正电气,浙江,电气设备,浙江天正电气股份有限公司,"Zhejiang Tengen Electrics Co.,Ltd.",tzdq,主板,SSE,L,20200807,
4400,605068,明新旭腾,浙江,汽车配件,明新旭腾新材料股份有限公司,"Mingxin Automotive Leather Co., Ltd.",mxxt,主板,SSE,L,20201123,
4401,605069,正和生态,北京,环境保护,北京正和恒基滨水生态环境治理股份有限公司,"Beijing Zeho Waterfront Ecological Environment Treatment Co.,Ltd.",zhst,主板,SSE,L,20210816,
4402,605077,华康股份,浙江,食品,浙江华康药业股份有限公司,"Zhejiang Huakang Pharmaceutical Co., Ltd.",hkgf,主板,SSE,L,20210209,
4403,605080,浙江自然,浙江,纺织,浙江大自然户外用品股份有限公司,Zhejiang Natural Outdoor Goods Inc.,zjzr,主板,SSE,L,20210506,
4404,605081,太和水,上海,环境保护,上海太和水科技发展股份有限公司,"Shanghai Taihe Water Technology Development Co., Ltd.",ths,主板,SSE,L,20210209,
4405,605086,龙高股份,福建,矿物制品,龙岩高岭土股份有限公司,"Longyan Kaolin Clay Co., Ltd.",lggf,主板,SSE,L,20210416,
4406,605088,冠盛股份,浙江,汽车配件,温州市冠盛汽车零部件集团股份有限公司,"Gsp Automotive Group Wenzhou Co.,Ltd.",gsgf,主板,SSE,L,20200817,
4407,605089,味知香,江苏,食品,苏州市味知香食品股份有限公司,"Suzhou Weizhixiang Food Co., Ltd.",wzx,主板,SSE,L,20210427,
4408,605090,九丰能源,江西,供气供热,江西九丰能源股份有限公司,"Jiangxi Jovo Energy Co., Ltd.",jfny,主板,SSE,L,20210525,
4409,605098,行动教育,上海,文教休闲,上海行动教育科技股份有限公司,"Shanghai Action Education Technology Co.,Ltd",xdjy,主板,SSE,L,20210421,
4410,605099,共创草坪,江苏,文教休闲,江苏共创人造草坪股份有限公司,"Cocreation Grass Co., Ltd",gccp,主板,SSE,L,20200930,
4411,605100,华丰股份,山东,机械基件,华丰动力股份有限公司,"Power HF Co., Ltd.",hfgf,主板,SSE,L,20200811,
4412,605108,同庆楼,安徽,酒店餐饮,同庆楼餐饮股份有限公司,TongQingLou Catering Corporation Limited.,tql,主板,SSE,L,20200716,
4413,605111,新洁能,江苏,半导体,无锡新洁能股份有限公司,"Wuxi Nce Power Co.,Ltd",xjn,主板,SSE,L,20200928,
4414,605116,奥锐特,浙江,化学制药,奥锐特药业股份有限公司,"Aurisco Pharmaceutical Co.,Ltd.",art,主板,SSE,L,20200921,
4415,605117,德业股份,浙江,电气设备,宁波德业科技股份有限公司,"Ningbo Deye Technology Co., Ltd.",dygf,主板,SSE,L,20210420,
4416,605118,力鼎光电,福建,元器件,厦门力鼎光电股份有限公司,"Xiamen Leading Optics Co., Ltd.",ldgd,主板,SSE,L,20200730,
4417,605122,四方新材,重庆,水泥,重庆四方新材股份有限公司,"Chongqing Sifang New Material Co., Ltd.",sfxc,主板,SSE,L,20210310,
4418,605123,派克新材,江苏,航空,无锡派克新材料科技股份有限公司,"Wuxi Paike New Materials Technology Co.,Ltd.",pkxc,主板,SSE,L,20200825,
4419,605128,上海沿浦,上海,汽车配件,上海沿浦金属制品股份有限公司,"Shanghai Yanpu Metal Products Co., Ltd",shyp,主板,SSE,L,20200915,
4420,605133,嵘泰股份,江苏,汽车配件,江苏嵘泰工业股份有限公司,"Jiangsu Rongtai Industry Co., Ltd.",rtgf,主板,SSE,L,20210224,
4421,605136,丽人丽妆,上海,其他商业,上海丽人丽妆化妆品股份有限公司,"Shanghai Lily & Beauty Cosmetics Co.,Ltd.",lrlz,主板,SSE,L,20200929,
4422,605138,盛泰集团,浙江,服饰,浙江盛泰服装集团股份有限公司,"Zhejiang Sunrise Garment Group Co.,Ltd.",stjt,主板,SSE,L,20211027,
4423,605151,西上海,上海,汽车配件,西上海汽车服务股份有限公司,"West Shanghai Automotive Service Co.,Ltd.",xsh,主板,SSE,L,20201215,
4424,605155,西大门,浙江,家居用品,浙江西大门新材料股份有限公司,"Zhejiang Xidamen New Material Co., Ltd.",xdm,主板,SSE,L,20201231,
4425,605158,华达新材,浙江,钢加工,浙江华达新型材料股份有限公司,"Zhejiang Huada New Materials Co., Ltd.",hdxc,主板,SSE,L,20200805,
4426,605162,新中港,浙江,供气供热,浙江新中港热电股份有限公司,"Zhejiang Xinzhonggang Thermal Power Co., LTD.",xzg,主板,SSE,L,20210707,
4427,605166,聚合顺,浙江,化纤,杭州聚合顺新材料股份有限公司,"Hangzhou Juheshun New Material Co.,Ltd.",jhs,主板,SSE,L,20200618,
4428,605167,利柏特,江苏,建筑工程,江苏利柏特股份有限公司,Jiangsu Libert Inc.,lbt,主板,SSE,L,20210726,
4429,605168,三人行,陕西,互联网,三人行传媒集团股份有限公司,"Three’s Company Media Group Co., Ltd.",srx,主板,SSE,L,20200528,
4430,605169,洪通燃气,新疆,供气供热,新疆洪通燃气股份有限公司,"Xinjiang Hongtong Natural Gas Co., Ltd.",htrq,主板,SSE,L,20201030,
4431,605177,东亚药业,浙江,化学制药,浙江东亚药业股份有限公司,"Zhejiang East-Asia Pharmaceutical Co., Ltd.",dyyy,主板,SSE,L,20201125,
4432,605178,时空科技,北京,装修装饰,北京新时空科技股份有限公司,"Beijing New Space Technology Co., Ltd.",skkj,主板,SSE,L,20200821,
4433,605179,一鸣食品,浙江,乳制品,浙江一鸣食品股份有限公司,"Zhejiang Yiming Food Co., Ltd.",ymsp,主板,SSE,L,20201228,
4434,605180,华生科技,浙江,纺织,浙江华生科技股份有限公司,"Zhejiang Huasheng Technology Co.,Ltd",hskj,主板,SSE,L,20210430,
4435,605183,确成股份,江苏,化工原料,确成硅化学股份有限公司,"Quechen Silicon Chemical Co.,Ltd.",qcgf,主板,SSE,L,20201207,
4436,605186,健麾信息,上海,专用机械,上海健麾信息技术股份有限公司,"Shanghai General Healthy Information and Technology Co., Ltd.",jhxx,主板,SSE,L,20201222,
4437,605188,国光连锁,江西,超市连锁,江西国光商业连锁股份有限公司,"Jiangxi Guoguang Commercial Chains Co., Ltd.",ggls,主板,SSE,L,20200728,
4438,605189,富春染织,安徽,纺织,芜湖富春染织股份有限公司,"Wuhu Fuchun Dye and Weave Co.,Ltd.",fcrz,主板,SSE,L,20210528,
